metric,strict,classic,delta
Return %,39.081285523990516,50.453922903100526,11.37263737911001
Buy&Hold %,18.112236968886954,18.112236968886954,0.0
# Trades,2159,3336,1177.0
Win Rate %,42.612320518758686,44.304556354916066,1.69223583615738
Profit Factor,1.0933935126595062,1.103345974346653,0.009952461687146696
Expectancy %,0.014925009450425969,0.013670329750052355,-0.0012546797003736131
Max Drawdown %,-19.801164628029788,-19.328243891010565,0.47292073701922277
Avg Trade %,0.013096527234912614,0.012247124964370748,-0.0008494022705418658
Avg Duration,0 days 23:00:00,0 days 19:00:00,
Sharpe,0.3717430749419371,0.4303329922432279,0.05858991730129082
