Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
77,33,50,129.385,129.084,-23.176999999999055,-0.0023263902307066875,2012-11-19 00:00:00,2012-11-19 17:00:00,,0 days 17:00:00
77,64,68,129.38012938,129.275,-8.094962259999534,-0.0008125620255891031,2012-11-20 07:00:00,2012-11-20 11:00:00,,0 days 04:00:00
76,68,69,129.492129492,129.395,-7.381841391999501,-0.0007500802742300694,2012-11-20 11:00:00,2012-11-20 12:00:00,,0 days 01:00:00
76,81,125,130.167130167,131.314,87.16210730799867,0.0088107483934583,2012-11-21 00:00:00,2012-11-22 20:00:00,,1 days 20:00:00
-76,138,148,131.011868988,132.175,-88.39795691200061,-0.008878058308644965,2012-11-23 09:00:00,2012-11-23 19:00:00,,0 days 10:00:00
75,153,164,132.196132196,131.392,-60.30991470000089,-0.00608287234007554,2012-11-26 00:00:00,2012-11-26 11:00:00,,0 days 11:00:00
-75,177,179,131.365868634,131.384,-1.3598524499983,-0.0001380218940316702,2012-11-27 00:00:00,2012-11-27 02:00:00,,0 days 02:00:00
-75,189,190,131.375868624,131.51,-10.059853199999935,-0.0010209742276481304,2012-11-27 12:00:00,2012-11-27 13:00:00,,0 days 01:00:00
-75,203,204,131.116868883,131.088,2.1651662250000925,0.00022017672665564092,2012-11-28 02:00:00,2012-11-28 03:00:00,,0 days 01:00:00
-75,214,226,130.736869263,131.523,-58.959805275000576,-0.006013076046808008,2012-11-28 13:00:00,2012-11-29 01:00:00,,0 days 12:00:00
74,231,273,131.611131611,132.107,36.694260786000655,0.0037676781813991145,2012-11-29 06:00:00,2012-12-03 01:00:00,,3 days 19:00:00
-74,314,315,131.58086841899998,131.713,-9.777736994000747,-0.0010041853545095236,2012-12-04 18:00:00,2012-12-04 19:00:00,,0 days 01:00:00
74,323,324,132.35013235,132.288,-4.597793899998862,-0.0004694543850978228,2012-12-05 03:00:00,2012-12-05 04:00:00,,0 days 01:00:00
74,324,325,132.522132522,132.435,-6.4478066279992845,-0.0006574941131853862,2012-12-05 04:00:00,2012-12-05 05:00:00,,0 days 01:00:00
74,337,339,132.644132644,132.63,-1.045815656000002,-0.00010654556457412312,2012-12-05 17:00:00,2012-12-05 19:00:00,,0 days 02:00:00
74,341,364,132.644132644,132.112,-39.37781565600005,-0.0040117314908166835,2012-12-05 21:00:00,2012-12-06 20:00:00,,0 days 23:00:00
-74,377,378,132.034867965,132.112,-5.707770590000393,-0.0005841792867959938,2012-12-07 09:00:00,2012-12-07 10:00:00,,0 days 01:00:00
-74,382,394,131.757,132.21,-33.52200000000022,-0.0034381474988045557,2012-12-07 14:00:00,2012-12-10 02:00:00,,2 days 12:00:00
-74,403,404,131.657868342,131.768,-8.149742692000018,-0.0008364988692808328,2012-12-10 11:00:00,2012-12-10 12:00:00,,0 days 01:00:00
73,417,506,132.434132434,134.766,170.22633231799998,0.017607753553730676,2012-12-11 01:00:00,2012-12-14 18:00:00,,3 days 17:00:00
73,538,554,135.992135992,136.554,41.01607258400108,0.004131591903469012,2012-12-18 02:00:00,2012-12-18 18:00:00,,0 days 16:00:00
72,555,586,136.685,136.922,17.063999999999623,0.0017339137432783591,2012-12-18 19:00:00,2012-12-20 02:00:00,,1 days 07:00:00
-73,590,602,136.28886371099998,137.164,-63.8849490970008,-0.00642118706672723,2012-12-20 06:00:00,2012-12-20 18:00:00,,0 days 12:00:00
72,605,615,137.45013745,136.467,-70.78589639999905,-0.007152684371506179,2012-12-20 21:00:00,2012-12-21 07:00:00,,0 days 10:00:00
-72,623,640,136.207863792,136.398,-13.689806975998863,-0.0013959268041259243,2012-12-21 15:00:00,2012-12-24 08:00:00,,2 days 17:00:00
71,648,691,136.83113683099998,138.588,124.73728499900093,0.012839644613710455,2012-12-24 16:00:00,2012-12-27 23:00:00,,3 days 07:00:00
71,693,706,139.343,138.873,-33.36999999999992,-0.0033729717316263175,2012-12-28 01:00:00,2012-12-28 14:00:00,,0 days 13:00:00
71,721,722,139.24213924199998,139.13,-7.961886181998835,-0.0008053542024737403,2012-12-31 05:00:00,2012-12-31 06:00:00,,0 days 01:00:00
71,727,728,139.27513927500002,139.24,-2.4948885250004196,-0.00025230112985652475,2012-12-31 11:00:00,2012-12-31 12:00:00,,0 days 01:00:00
71,730,760,139.259139259,141.933,189.8441126109999,0.01920061229178671,2012-12-31 14:00:00,2013-01-02 23:00:00,,2 days 09:00:00
71,806,817,141.703141703,140.756,-67.24706091299998,-0.006683985207506127,2013-01-04 21:00:00,2013-01-07 09:00:00,,2 days 12:00:00
-71,831,832,140.931859068,141.025,-6.613006172000809,-0.0006608933751102164,2013-01-07 23:00:00,2013-01-08 00:00:00,,0 days 01:00:00
-71,840,841,140.485859514,140.573,-6.186974506000695,-0.0006202794096250575,2013-01-08 08:00:00,2013-01-08 09:00:00,,0 days 01:00:00
-71,843,866,140.612859387,140.739,-8.955983523001294,-0.000897077362269183,2013-01-08 11:00:00,2013-01-09 10:00:00,,0 days 23:00:00
71,873,874,140.867140867,140.857,-0.7200015569992786,-7.198887503201412e-05,2013-01-09 17:00:00,2013-01-09 18:00:00,,0 days 01:00:00
71,879,944,141.009141009,143.137,151.07798836100076,0.015090220221001038,2013-01-09 23:00:00,2013-01-14 16:00:00,,4 days 17:00:00
-71,956,957,142.828857171,143.045,-15.34614085899841,-0.0015132994359901009,2013-01-15 04:00:00,2013-01-15 05:00:00,,0 days 01:00:00
-71,963,1004,142.452857547,141.434,72.33888583700073,0.007152243658319457,2013-01-15 11:00:00,2013-01-17 04:00:00,,1 days 17:00:00
71,1015,1039,143.003,143.193,13.490000000001857,0.0013286434550325854,2013-01-17 15:00:00,2013-01-18 15:00:00,,1 days 00:00:00
-2,1081,1114,140.833859166,140.15,1.3677183319999813,0.0048557865988315685,2013-01-22 09:00:00,2013-01-23 18:00:00,,1 days 09:00:00
-71,1049,1114,142.4998575,140.15,166.8398824999989,0.01649024456041992,2013-01-21 01:00:00,2013-01-23 18:00:00,,2 days 17:00:00
-74,1120,1121,140.064859935,140.186,-8.964364810001484,-0.0008648854898811731,2013-01-24 00:00:00,2013-01-24 01:00:00,,0 days 01:00:00
73,1136,1177,142.026142026,142.767,54.082632101999536,0.005216349352532346,2013-01-24 16:00:00,2013-01-28 10:00:00,,3 days 18:00:00
-73,1184,1200,142.294857705,142.435,-10.23038753500029,-0.0009848725193608576,2013-01-28 17:00:00,2013-01-29 09:00:00,,0 days 16:00:00
73,1213,1247,142.903,143.558,47.81500000000008,0.004583528687291283,2013-01-29 22:00:00,2013-01-31 08:00:00,,1 days 10:00:00
72,1254,1283,144.132144132,145.431,93.51762249600029,0.009011562797612171,2013-01-31 15:00:00,2013-02-01 20:00:00,,1 days 05:00:00
72,1284,1286,145.902145902,145.618,-20.458504944000424,-0.0019475100948197488,2013-02-01 21:00:00,2013-02-01 23:00:00,,0 days 02:00:00
72,1296,1297,145.957145957,146.01,3.8054910959997414,0.0003621202830013104,2013-02-04 09:00:00,2013-02-04 10:00:00,,0 days 01:00:00
72,1321,1322,146.58714658699998,146.5,-6.274554263998425,-0.0005945036043678575,2013-02-05 10:00:00,2013-02-05 11:00:00,,0 days 01:00:00
71,1337,1353,146.808146808,146.428,-26.99042336800045,-0.002589412210871167,2013-02-06 02:00:00,2013-02-06 18:00:00,,0 days 16:00:00
71,1370,1371,147.226147226,147.552,23.135546953999835,0.0022132805900285657,2013-02-07 11:00:00,2013-02-07 12:00:00,,0 days 01:00:00
-72,1391,1392,145.97485402499998,145.827,10.64548979999904,0.0010128732512701966,2013-02-08 08:00:00,2013-02-08 09:00:00,,0 days 01:00:00
-72,1414,1420,146.080853919,146.579,-35.866517832001136,-0.003410070982171609,2013-02-11 08:00:00,2013-02-11 14:00:00,,0 days 06:00:00
71,1428,1429,147.26014726,147.631,26.33054454000026,0.002518351006027597,2013-02-11 22:00:00,2013-02-11 23:00:00,,0 days 01:00:00
-1,1470,1521,145.042854957,145.143,-0.10014504299999771,-0.0006904514050669608,2013-02-13 16:00:00,2013-02-15 19:00:00,,2 days 03:00:00
-72,1456,1521,146.02085397899998,145.143,63.20548648799854,0.006011839782324668,2013-02-13 02:00:00,2013-02-15 19:00:00,,2 days 17:00:00
72,1527,1549,145.625145625,145.241,-27.65848499999811,-0.0026379072333372333,2013-02-18 02:00:00,2013-02-19 00:00:00,,0 days 22:00:00
-1,1603,1626,141.860858139,142.261,-0.4001418610000087,-0.0028206643203012582,2013-02-21 06:00:00,2013-02-22 05:00:00,,0 days 23:00:00
-2,1602,1626,142.030857969,142.261,-0.4602840619999711,-0.0016203664069269763,2013-02-21 05:00:00,2013-02-22 05:00:00,,1 days 00:00:00
-73,1559,1626,144.782855217,142.261,184.09543084099965,0.01741818955856511,2013-02-19 10:00:00,2013-02-22 05:00:00,,2 days 19:00:00
-76,1643,1644,141.670858329,141.61,4.625233003998801,0.00042957549433808584,2013-02-22 22:00:00,2013-02-22 23:00:00,,0 days 01:00:00
75,1646,1647,142.501142501,142.325,-13.210687575001145,-0.0012360778159991037,2013-02-25 01:00:00,2013-02-25 02:00:00,,0 days 01:00:00
-76,1662,1663,141.51985848,141.054,35.40524448000065,0.003291824094537543,2013-02-25 17:00:00,2013-02-25 18:00:00,,0 days 01:00:00
-76,1664,1715,141.52,139.737,135.50800000000118,0.012598925946862738,2013-02-25 19:00:00,2013-02-27 22:00:00,,2 days 03:00:00
78,1720,1755,140.192,139.568,-48.67199999999963,-0.004451038575667643,2013-02-28 03:00:00,2013-03-01 14:00:00,,1 days 11:00:00
77,1773,1798,140.90114090100002,140.937,2.7611506229994234,0.0002544982870307244,2013-03-04 09:00:00,2013-03-05 10:00:00,,1 days 01:00:00
77,1832,1833,141.426141426,141.47,3.377110198000935,0.0003101164576633231,2013-03-06 20:00:00,2013-03-06 21:00:00,,0 days 01:00:00
77,1849,1850,141.49014149,142.117,48.268105269998216,0.004430404149707412,2013-03-07 13:00:00,2013-03-07 14:00:00,,0 days 01:00:00
76,1853,1899,142.917142917,143.091,13.213138308000111,0.0012164886552550325,2013-03-07 17:00:00,2013-03-11 15:00:00,,3 days 22:00:00
76,1909,1920,144.026,142.507,-115.44400000000041,-0.010546706844597575,2013-03-12 01:00:00,2013-03-12 12:00:00,,0 days 11:00:00
-76,1940,1941,142.654857345,142.844,-14.374841779998746,-0.001325876023573258,2013-03-13 08:00:00,2013-03-13 09:00:00,,0 days 01:00:00
75,1961,1962,143.482143482,143.426,-4.210761150000764,-0.00039129246774216586,2013-03-14 05:00:00,2013-03-14 06:00:00,,0 days 01:00:00
75,1965,1966,143.815143815,143.969,11.539213874999632,0.0010698190810691788,2013-03-14 09:00:00,2013-03-14 10:00:00,,0 days 01:00:00
75,1970,2000,144.27014427,143.91,-27.010820250000478,-0.002496318776295081,2013-03-14 14:00:00,2013-03-15 20:00:00,,1 days 06:00:00
-1,2010,2024,142.365857634,143.758,-1.3921423660000016,-0.009778625220514536,2013-03-18 07:00:00,2013-03-18 21:00:00,,0 days 14:00:00
-75,2003,2024,143.377,143.758,-28.575000000000017,-0.0026573299762164826,2013-03-18 00:00:00,2013-03-18 21:00:00,,0 days 21:00:00
74,2029,2031,144.344144344,144.552,15.381318543999441,0.001440000610656078,2013-03-19 02:00:00,2013-03-19 04:00:00,,0 days 02:00:00
74,2032,2046,144.344144344,143.398,-70.01468145600029,-0.006554781617917005,2013-03-19 05:00:00,2013-03-19 19:00:00,,0 days 14:00:00
