metric,strict,classic,delta
Return %,74.0717700616394,83.50963352241615,9.437863460776754
Buy&Hold %,18.112236968886954,18.112236968886954,0.0
# Trades,1679,2901,1222.0
Win Rate %,44.01429422275164,45.673905549810414,1.6596113270587765
Profit Factor,1.21271760103081,1.1754033197731935,-0.0373142812576166
Expectancy %,0.03532678189466784,0.022501048675166925,-0.012825733219500916
Max Drawdown %,-15.739991678472032,-16.256393247527512,-0.5164015690554802
Avg Trade %,0.03323776564421177,0.02107805190505463,-0.01215971373915714
Avg Duration,1 days 02:00:00,0 days 19:00:00,
Sharpe,0.631594685318775,0.6454628231662201,0.013868137847445006
