Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
-123,25,26,81.121843878,81.176,-6.6612030059993685,-0.000667589879754793,2012-11-19 13:00:00,2012-11-19 14:00:00,,0 days 01:00:00
-123,45,46,81.142843857,81.229,-10.597205588999586,-0.0010617836263149272,2012-11-20 09:00:00,2012-11-20 10:00:00,,0 days 01:00:00
122,54,104,81.709,82.428,87.71799999999928,0.008799520248687243,2012-11-20 18:00:00,2012-11-22 20:00:00,,2 days 02:00:00
-122,108,109,82.37984262,82.362,2.1767996400012635,0.0002165896344609175,2012-11-23 00:00:00,2012-11-23 01:00:00,,0 days 01:00:00
-122,110,111,82.37984262,82.305,9.130799639999793,0.0009085064697832435,2012-11-23 02:00:00,2012-11-23 03:00:00,,0 days 01:00:00
-122,112,113,82.245842754,82.208,4.61681598799953,0.0004601175297478388,2012-11-23 04:00:00,2012-11-23 05:00:00,,0 days 01:00:00
-122,114,115,82.245842754,82.25,-0.5071840120006641,-5.054657914360661e-05,2012-11-23 06:00:00,2012-11-23 07:00:00,,0 days 01:00:00
-122,117,128,82.17284282700001,82.419,-30.0311751059983,-0.0029956024950752447,2012-11-23 09:00:00,2012-11-23 20:00:00,,0 days 11:00:00
121,132,133,82.436157436,82.554,14.258950244000005,0.0014295009333917807,2012-11-26 00:00:00,2012-11-26 01:00:00,,0 days 01:00:00
121,134,140,82.55,82.136,-50.09400000000018,-0.005015142337976952,2012-11-26 02:00:00,2012-11-26 08:00:00,,0 days 06:00:00
-121,141,166,82.174,82.217,-5.202999999999051,-0.0005232798695449237,2012-11-26 09:00:00,2012-11-27 10:00:00,,1 days 01:00:00
-122,184,206,81.838,82.028,-23.180000000001456,-0.002321659864610748,2012-11-28 04:00:00,2012-11-29 02:00:00,,0 days 22:00:00
121,207,208,82.137,82.061,-9.195999999999202,-0.0009252833680313266,2012-11-29 03:00:00,2012-11-29 04:00:00,,0 days 01:00:00
121,230,253,82.146157146,82.323,21.397985334000026,0.002152783041155404,2012-11-30 02:00:00,2012-12-03 02:00:00,,3 days 00:00:00
-121,254,255,82.351842648,82.373,-2.560039592000365,-0.0002569141299051392,2012-12-03 03:00:00,2012-12-03 04:00:00,,0 days 01:00:00
-121,257,258,82.318842681,82.28,4.6999644010006705,0.00047185650010328484,2012-12-03 06:00:00,2012-12-03 07:00:00,,0 days 01:00:00
-121,259,260,82.318842681,82.299,2.40096440100001,0.000241046646839993,2012-12-03 08:00:00,2012-12-03 09:00:00,,0 days 01:00:00
-121,261,262,82.154,82.119,4.234999999999587,0.0004260291647393277,2012-12-03 10:00:00,2012-12-03 11:00:00,,0 days 01:00:00
-121,263,306,82.119,82.262,-17.303000000000083,-0.0017413753211803495,2012-12-03 12:00:00,2012-12-05 07:00:00,,1 days 19:00:00
121,316,340,82.319157319,82.342,2.763964401000024,0.00027748924726567203,2012-12-05 17:00:00,2012-12-06 17:00:00,,1 days 00:00:00
121,351,359,82.479,82.368,-13.431000000000509,-0.0013457971119922307,2012-12-07 04:00:00,2012-12-07 12:00:00,,0 days 08:00:00
-121,382,383,82.269,82.141,15.488000000000014,0.0015558715919726795,2012-12-10 11:00:00,2012-12-10 12:00:00,,0 days 01:00:00
-121,385,394,82.111842888,82.348,-28.575010552000094,-0.002876042038443938,2012-12-10 14:00:00,2012-12-10 23:00:00,,0 days 09:00:00
120,396,397,82.425157425,82.409,-1.9388909999986481,-0.0001960254066204481,2012-12-11 01:00:00,2012-12-11 02:00:00,,0 days 01:00:00
120,405,406,82.43015743000001,82.471,4.90110839999943,0.0004954809170985008,2012-12-11 10:00:00,2012-12-11 11:00:00,,0 days 01:00:00
120,408,409,82.462,82.452,-1.200000000000614,-0.00012126797797784583,2012-12-11 13:00:00,2012-12-11 14:00:00,,0 days 01:00:00
120,415,486,82.543157543,83.44,107.62109483999893,0.010865133872941524,2012-12-11 20:00:00,2012-12-14 19:00:00,,2 days 23:00:00
120,518,531,83.916,83.964,5.760000000000218,0.000572000572000686,2012-12-18 03:00:00,2012-12-18 16:00:00,,0 days 13:00:00
119,536,566,84.178,84.204,3.0939999999995536,0.00030886930076734487,2012-12-18 21:00:00,2012-12-20 03:00:00,,1 days 06:00:00
-120,569,582,83.93284106700001,84.321,-46.57907195999826,-0.004624637127321085,2012-12-20 06:00:00,2012-12-20 19:00:00,,0 days 13:00:00
119,611,612,84.377,84.414,4.4030000000007306,0.0004385081242519462,2012-12-24 00:00:00,2012-12-24 01:00:00,,0 days 01:00:00
118,613,686,84.434,86.036,189.03600000000046,0.018973399341497554,2012-12-24 02:00:00,2012-12-28 15:00:00,,4 days 13:00:00
-119,693,694,85.980839019,85.866,13.665843261000177,0.0013356350125244276,2012-12-28 22:00:00,2012-12-28 23:00:00,,0 days 01:00:00
-119,695,696,85.819,85.967,-17.61199999999954,-0.0017245598294084452,2012-12-31 00:00:00,2012-12-31 01:00:00,,0 days 01:00:00
-119,697,698,85.879,85.878,0.1190000000005682,1.1644290222379006e-05,2012-12-31 02:00:00,2012-12-31 03:00:00,,0 days 01:00:00
118,707,754,86.165161165,86.857,81.63698252999984,0.008029217675055156,2012-12-31 12:00:00,2013-01-03 14:00:00,,3 days 02:00:00
-118,755,756,86.892,86.957,-7.669999999999732,-0.0007480550568521593,2013-01-03 15:00:00,2013-01-03 16:00:00,,0 days 01:00:00
-118,757,758,86.833,86.917,-9.912000000000376,-0.0009673741549871551,2013-01-03 17:00:00,2013-01-03 18:00:00,,0 days 01:00:00
117,766,797,87.703,87.76,6.669000000000253,0.0006499207552763675,2013-01-04 02:00:00,2013-01-07 10:00:00,,3 days 08:00:00
-117,798,799,87.778,87.877,-11.582999999998776,-0.001127845245961323,2013-01-07 11:00:00,2013-01-07 12:00:00,,0 days 01:00:00
-117,803,842,87.715837284,87.49,26.422962228000912,0.0025746466201856943,2013-01-07 16:00:00,2013-01-09 07:00:00,,1 days 15:00:00
117,844,845,87.54016254,87.613,8.521982820000275,0.0008320462046973454,2013-01-09 09:00:00,2013-01-09 10:00:00,,0 days 01:00:00
117,846,847,87.54016254,87.468,-8.44301717999926,-0.0008243363720854546,2013-01-09 11:00:00,2013-01-09 12:00:00,,0 days 01:00:00
117,850,923,87.729162729,89.243,177.11896070699999,0.017255804386009377,2013-01-09 15:00:00,2013-01-14 17:00:00,,5 days 02:00:00
-118,942,975,88.64683635300001,88.491,18.38868965400144,0.0017579460182814977,2013-01-15 12:00:00,2013-01-16 21:00:00,,1 days 09:00:00
118,978,979,88.67016367,88.657,-1.553313059999681,-0.00014845658849793608,2013-01-17 00:00:00,2013-01-17 01:00:00,,0 days 01:00:00
118,980,981,88.695,88.665,-3.5399999999984573,-0.00033823778116004455,2013-01-17 02:00:00,2013-01-17 03:00:00,,0 days 01:00:00
118,987,988,88.784163784,88.859,8.83067348799932,0.0008429004994860989,2013-01-17 09:00:00,2013-01-17 10:00:00,,0 days 01:00:00
117,990,1032,89.324,89.535,24.686999999999827,0.0023621870941739065,2013-01-17 12:00:00,2013-01-21 06:00:00,,3 days 18:00:00
-117,1035,1047,89.486835513,89.73,-28.45024497900016,-0.0027173213311881828,2013-01-21 09:00:00,2013-01-21 21:00:00,,0 days 12:00:00
116,1054,1055,89.884164884,89.869,-1.7591265440000825,-0.00016871585801092603,2013-01-22 04:00:00,2013-01-22 05:00:00,,0 days 01:00:00
-118,1061,1094,88.639,88.593,5.427999999999088,0.0005189589232729164,2013-01-22 11:00:00,2013-01-23 20:00:00,,1 days 09:00:00
118,1101,1102,88.72516372499999,88.902,20.86668045000161,0.001993079162390776,2013-01-24 03:00:00,2013-01-24 04:00:00,,0 days 01:00:00
118,1107,1158,89.265,90.682,167.2060000000002,0.01587408278720659,2013-01-24 09:00:00,2013-01-28 12:00:00,,4 days 03:00:00
-118,1159,1160,90.725,90.926,-23.7180000000009,-0.002215486359878893,2013-01-28 13:00:00,2013-01-28 14:00:00,,0 days 01:00:00
-117,1169,1170,90.668834331,90.648,2.437616727000375,0.00022978492172898157,2013-01-28 23:00:00,2013-01-29 00:00:00,,0 days 01:00:00
117,1195,1196,90.81216581199999,90.831,2.203599996001614,0.00020739718992057732,2013-01-30 01:00:00,2013-01-30 02:00:00,,0 days 01:00:00
117,1197,1223,90.981,90.877,-12.167999999999907,-0.0011430958112133016,2013-01-30 03:00:00,2013-01-31 05:00:00,,1 days 02:00:00
-117,1224,1225,90.81,90.934,-14.507999999999441,-0.0013654883823366326,2013-01-31 06:00:00,2013-01-31 07:00:00,,0 days 01:00:00
116,1235,1236,91.245,91.284,4.524000000000171,0.000427420680585211,2013-01-31 17:00:00,2013-01-31 18:00:00,,0 days 01:00:00
116,1237,1287,91.318,92.379,123.07600000000082,0.011618738912372306,2013-01-31 19:00:00,2013-02-04 21:00:00,,4 days 02:00:00
-116,1288,1289,92.285,92.367,-9.51200000000091,-0.0008885517689767308,2013-02-04 22:00:00,2013-02-04 23:00:00,,0 days 01:00:00
-117,1290,1291,92.092,92.156,-7.488000000000838,-0.0006949572166963236,2013-02-05 00:00:00,2013-02-05 01:00:00,,0 days 01:00:00
115,1305,1333,93.166,93.422,29.440000000000026,0.002747783526179104,2013-02-05 15:00:00,2013-02-06 19:00:00,,1 days 04:00:00
-115,1334,1335,93.291831708,93.377,-9.79435357999904,-0.0009129233550324578,2013-02-06 20:00:00,2013-02-06 21:00:00,,0 days 01:00:00
114,1350,1358,93.861,93.451,-46.74000000000123,-0.004368161430200135,2013-02-07 12:00:00,2013-02-07 20:00:00,,0 days 08:00:00
-116,1389,1399,92.47383252600001,93.333,-99.6634269839987,-0.009290925341051803,2013-02-11 03:00:00,2013-02-11 13:00:00,,0 days 10:00:00
114,1401,1402,93.296,93.272,-2.7360000000001037,-0.0002572457554450569,2013-02-11 15:00:00,2013-02-11 16:00:00,,0 days 01:00:00
113,1404,1429,93.498168498,93.24,-29.173040274000385,-0.0027612144937954053,2013-02-11 18:00:00,2013-02-12 19:00:00,,1 days 01:00:00
-113,1438,1450,93.155831844,93.53,-42.28100162799956,-0.00401658327335408,2013-02-13 04:00:00,2013-02-13 16:00:00,,0 days 12:00:00
112,1460,1461,93.557168557,93.503,-6.066878383999665,-0.0005789888453816561,2013-02-14 02:00:00,2013-02-14 03:00:00,,0 days 01:00:00
112,1466,1467,93.61016860999999,93.449,-18.050884319998886,-0.0017216998152354002,2013-02-14 08:00:00,2013-02-14 09:00:00,,0 days 01:00:00
