metric,strict,classic,delta
Return %,20.37991473990551,32.32101519317806,11.941100453272554
Buy&Hold %,41.44407088582654,41.44407088582654,0.0
# Trades,1568,2960,1392.0
Win Rate %,41.70918367346938,44.56081081081081,2.851627137341424
Profit Factor,1.0970530186674539,1.0996829434202873,0.0026299247528334124
Expectancy %,0.01313821444102879,0.01035936463648553,-0.00277884980454326
Max Drawdown %,-17.728242876179635,-16.457877967553014,1.2703649086266218
Avg Trade %,0.011913973604427142,0.009516248682461814,-0.0023977249219653274
Avg Duration,1 days 01:00:00,0 days 18:00:00,
Sharpe,0.2923742731562795,0.3819094912766989,0.08953521812041937
