Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
122,49,50,81.427156427,81.532,12.790915905999583,0.001287575025341603,2012-11-20 13:00:00,2012-11-20 14:00:00,,0 days 01:00:00
122,60,104,81.75415675400001,82.428,82.20887601199877,0.008242311739910635,2012-11-21 00:00:00,2012-11-22 20:00:00,,1 days 20:00:00
-122,117,128,82.17284282700001,82.419,-30.0311751059983,-0.0029956024950752447,2012-11-23 09:00:00,2012-11-23 20:00:00,,0 days 11:00:00
-122,156,166,81.92084307900001,82.217,-36.13114436199888,-0.0036151595841658057,2012-11-27 00:00:00,2012-11-27 10:00:00,,0 days 10:00:00
-122,190,206,81.712843287,82.028,-38.44911898600091,-0.003856881003309054,2012-11-28 10:00:00,2012-11-29 02:00:00,,0 days 16:00:00
121,228,229,82.165157165,82.139,-3.165016965000092,-0.0003183486273563574,2012-11-30 00:00:00,2012-11-30 01:00:00,,0 days 01:00:00
121,236,253,82.538157538,82.323,-26.034062097999964,-0.0026067644883027707,2012-11-30 08:00:00,2012-12-03 02:00:00,,2 days 18:00:00
-121,270,306,82.18284281700001,82.262,-9.578019142999082,-0.0009631838019554806,2012-12-03 19:00:00,2012-12-05 07:00:00,,1 days 12:00:00
120,316,340,82.319157319,82.342,2.7411217200000237,0.00027748924726567203,2012-12-05 17:00:00,2012-12-06 17:00:00,,1 days 00:00:00
120,361,362,82.55615755599999,82.668,13.421093280002196,0.001354743816948556,2012-12-07 14:00:00,2012-12-07 15:00:00,,0 days 01:00:00
120,423,486,82.567157567,83.44,104.74109196000029,0.01057130290929198,2012-12-12 04:00:00,2012-12-14 19:00:00,,2 days 15:00:00
119,533,534,84.07015906999999,84.11,4.741070670001321,0.00047390097081700944,2012-12-18 18:00:00,2012-12-18 19:00:00,,0 days 01:00:00
119,538,566,84.26015926,84.204,-6.682951940000137,-0.0006664983842091798,2012-12-18 23:00:00,2012-12-20 03:00:00,,1 days 04:00:00
119,620,686,84.402159402,86.036,194.42703116200073,0.01935780564829126,2012-12-24 09:00:00,2012-12-28 15:00:00,,4 days 06:00:00
118,718,754,86.842161842,86.857,1.750902644000405,0.00017086352625583778,2013-01-02 02:00:00,2013-01-03 14:00:00,,1 days 12:00:00
116,768,797,87.762162762,87.76,-0.2508803919997149,-2.4643444645477963e-05,2013-01-04 04:00:00,2013-01-07 10:00:00,,3 days 06:00:00
-117,803,842,87.715837284,87.49,26.422962228000912,0.0025746466201856943,2013-01-07 16:00:00,2013-01-09 07:00:00,,1 days 15:00:00
117,850,923,87.729162729,89.243,177.11896070699999,0.017255804386009377,2013-01-09 15:00:00,2013-01-14 17:00:00,,5 days 02:00:00
-118,942,975,88.64683635300001,88.491,18.38868965400144,0.0017579460182814977,2013-01-15 12:00:00,2013-01-16 21:00:00,,1 days 09:00:00
118,987,988,88.784163784,88.859,8.83067348799932,0.0008429004994860989,2013-01-17 09:00:00,2013-01-17 10:00:00,,0 days 01:00:00
117,992,1032,89.276,89.535,30.30300000000004,0.002901115641381846,2013-01-17 14:00:00,2013-01-21 06:00:00,,3 days 16:00:00
-117,1036,1047,89.377,89.73,-41.30100000000101,-0.0039495619678442395,2013-01-21 10:00:00,2013-01-21 21:00:00,,0 days 11:00:00
-118,1061,1094,88.639,88.593,5.427999999999088,0.0005189589232729164,2013-01-22 11:00:00,2013-01-23 20:00:00,,1 days 09:00:00
116,1112,1158,89.689164689,90.682,115.16889607600086,0.011069735284554127,2013-01-24 14:00:00,2013-01-28 12:00:00,,3 days 22:00:00
-117,1182,1183,90.39683460300002,90.474,-9.028351448998535,-0.0008536294145573553,2013-01-29 12:00:00,2013-01-29 13:00:00,,0 days 01:00:00
116,1202,1223,91.021166021,90.877,-16.723258436000435,-0.0015838735900916001,2013-01-30 08:00:00,2013-01-31 05:00:00,,0 days 21:00:00
114,1258,1287,92.25216725199999,92.379,14.458933272001417,0.001374848437474041,2013-02-01 16:00:00,2013-02-04 21:00:00,,3 days 05:00:00
113,1311,1333,93.48016848,93.422,-6.573038240000699,-0.000622254762115193,2013-02-05 21:00:00,2013-02-06 19:00:00,,0 days 22:00:00
-113,1370,1371,93.08183191799999,92.779,34.22000673399948,0.00325339447838513,2013-02-08 08:00:00,2013-02-08 09:00:00,,0 days 01:00:00
-114,1389,1399,92.47383252600001,93.333,-97.94509203599873,-0.009290925341051803,2013-02-11 03:00:00,2013-02-11 13:00:00,,0 days 10:00:00
112,1404,1429,93.498168498,93.24,-28.914871776000382,-0.0027612144937954053,2013-02-11 18:00:00,2013-02-12 19:00:00,,1 days 01:00:00
-112,1438,1450,93.155831844,93.53,-41.90683347199956,-0.00401658327335408,2013-02-13 04:00:00,2013-02-13 16:00:00,,0 days 12:00:00
-112,1479,1500,92.93383206600001,93.641,-79.20280860799971,-0.007609370218348177,2013-02-14 21:00:00,2013-02-15 18:00:00,,0 days 21:00:00
110,1505,1533,93.878,93.789,-9.78999999999985,-0.0009480389441615111,2013-02-18 00:00:00,2013-02-19 04:00:00,,1 days 04:00:00
-111,1548,1557,93.352831647,93.49,-15.225687182999195,-0.0014693539615238116,2013-02-19 19:00:00,2013-02-20 04:00:00,,0 days 09:00:00
110,1574,1575,93.818,93.536,-31.019999999999612,-0.0030058197787204977,2013-02-20 21:00:00,2013-02-20 22:00:00,,0 days 01:00:00
-111,1590,1610,92.862,93.266,-44.844000000001174,-0.004350541663974639,2013-02-21 13:00:00,2013-02-22 09:00:00,,0 days 20:00:00
109,1625,1646,94.203,92.613,-173.31000000000037,-0.016878443361676432,2013-02-25 00:00:00,2013-02-25 21:00:00,,0 days 21:00:00
-110,1666,1678,91.400833599,91.907,-55.67830411000017,-0.005537875105392276,2013-02-26 17:00:00,2013-02-27 05:00:00,,0 days 12:00:00
-109,1682,1696,91.626833373,92.225,-65.20016234299975,-0.006528290949060045,2013-02-27 09:00:00,2013-02-27 23:00:00,,0 days 14:00:00
107,1700,1713,92.456,92.352,-11.127999999999915,-0.0011248593925758943,2013-02-28 03:00:00,2013-02-28 16:00:00,,0 days 13:00:00
107,1715,1766,92.39916739899999,93.408,107.94508830700094,0.010918200124506061,2013-02-28 18:00:00,2013-03-04 21:00:00,,4 days 03:00:00
-108,1795,1796,93.05483194500002,93.075,-2.1781499399983772,-0.00021673302265390326,2013-03-06 02:00:00,2013-03-06 03:00:00,,0 days 01:00:00
107,1810,1902,93.52,95.924,257.22800000000115,0.02570573139435428,2013-03-06 17:00:00,2013-03-12 13:00:00,,5 days 20:00:00
-107,1917,1931,95.735829264,96.076,-36.39826875199897,-0.003553222848907911,2013-03-13 04:00:00,2013-03-13 18:00:00,,0 days 14:00:00
107,1945,1946,96.171171171,96.19,2.0146847030000288,0.00019578454510571497,2013-03-14 08:00:00,2013-03-14 09:00:00,,0 days 01:00:00
-107,1975,1976,95.683829316,95.787,-11.03926318800059,-0.001078245767728303,2013-03-15 14:00:00,2013-03-15 15:00:00,,0 days 01:00:00
-108,1984,2006,94.887,95.2,-33.80400000000026,-0.003298660511977358,2013-03-18 00:00:00,2013-03-18 22:00:00,,0 days 22:00:00
107,2010,2012,95.59417059399999,95.705,11.858746442000822,0.0011593741052549067,2013-03-19 02:00:00,2013-03-19 04:00:00,,0 days 02:00:00
107,2013,2024,95.59417059399999,95.084,-54.588253557998655,-0.005336837914173054,2013-03-19 05:00:00,2013-03-19 16:00:00,,0 days 11:00:00
106,2047,2070,95.529,95.234,-31.27000000000018,-0.003088067497827862,2013-03-20 15:00:00,2013-03-21 14:00:00,,0 days 23:00:00
-107,2074,2108,95.064829935,94.81,27.266803045000387,0.0026805910784697407,2013-03-21 18:00:00,2013-03-25 05:00:00,,3 days 11:00:00
-108,2136,2143,94.111830888,94.298,-20.10626409600019,-0.0019781690595475077,2013-03-26 09:00:00,2013-03-26 16:00:00,,0 days 07:00:00
107,2152,2166,94.63,94.33,-32.099999999999696,-0.003170241995138934,2013-03-27 01:00:00,2013-03-27 15:00:00,,0 days 14:00:00
-107,2177,2178,94.240830759,94.119,13.035891213000554,0.001292759815663791,2013-03-28 02:00:00,2013-03-28 03:00:00,,0 days 01:00:00
-108,2182,2193,94.128,94.093,3.7799999999996317,0.00037183409824914637,2013-03-28 07:00:00,2013-03-28 18:00:00,,0 days 11:00:00
-108,2207,2208,93.954831045,94.047,-9.95424713999904,-0.00098099218501968,2013-03-29 08:00:00,2013-03-29 09:00:00,,0 days 01:00:00
-108,2224,2225,93.904831095,93.935,-3.258241739999619,-0.000321271063993267,2013-04-01 03:00:00,2013-04-01 04:00:00,,0 days 01:00:00
-108,2231,2261,93.436,93.355,8.748000000000332,0.0008669035489533572,2013-04-01 10:00:00,2013-04-02 16:00:00,,1 days 06:00:00
108,2271,2287,93.557168557,92.955,-65.03420415599987,-0.0064363700429126425,2013-04-03 02:00:00,2013-04-03 18:00:00,,0 days 16:00:00
105,2308,2377,95.679170679,98.946,343.0170787050003,0.034143578981888245,2013-04-04 15:00:00,2013-04-09 13:00:00,,4 days 22:00:00
105,2397,2398,99.30617430599999,99.349,4.496697870001611,0.00043124905676106273,2013-04-10 09:00:00,2013-04-10 10:00:00,,0 days 01:00:00
104,2402,2421,99.535,99.641,11.02400000000091,0.0010649520269252477,2013-04-10 14:00:00,2013-04-11 09:00:00,,0 days 19:00:00
104,2431,2432,99.76717476699999,99.872,10.901824232001445,0.001050698621513746,2013-04-11 19:00:00,2013-04-11 20:00:00,,0 days 01:00:00
-105,2449,2495,99.243,97.892,141.8549999999999,0.01361305079451447,2013-04-12 13:00:00,2013-04-16 12:00:00,,3 days 23:00:00
107,2515,2524,98.32117332099999,97.575,-79.84054534699854,-0.007589141746344619,2013-04-17 08:00:00,2013-04-17 17:00:00,,0 days 09:00:00
107,2536,2538,98.273173273,98.132,-15.105540210999209,-0.0014365392741294558,2013-04-18 05:00:00,2013-04-18 07:00:00,,0 days 02:00:00
106,2542,2559,98.364173364,98.263,-10.724376583998975,-0.001028559083454006,2013-04-18 11:00:00,2013-04-19 04:00:00,,0 days 17:00:00
106,2560,2598,98.54,99.227,72.82199999999975,0.006971788106352683,2013-04-19 05:00:00,2013-04-22 20:00:00,,3 days 15:00:00
